Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,Capacity_t CO₂ captured/y,"IEA zero-carbon estimated normalized capacity
[Nm³ H₂/hour]",References,LOWE_CF
623,Wunsiedel Energy Park (Phase 1),DEU,2022.0,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,8.8MW,8.8,1692.3076923076926,1.3193907692307696,,1692.3076923076926,[582][1022][1593],0.5
624,Wunsiedel Energy Park (Phase 2),DEU,,,Concept,PEM,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,2kt H2/y production,26.678980042070698,5130.573085013596,4.0,,5130.573085013596,[582],0.5
625,"Repsol Basque Hydrogen Corrido Bilbao, phase 1",ESP,2023.0,,FID/Construction,ALK,,Grid,,H2,1.0,,,,,1.0,,,,,,1.0,,,2.5MW,2.5,543.4782608695652,0.4237173913043478,,543.4782608695652,[531] [532] [739] [757][1392],0.57
627,Hydrogen Island Aitutaki,COK,2011.0,2013.0,DEMO,ALK,,Other/unknown,,H2,,,,,,1.0,1.0,,,,,,,,0.055MW,0.055,11.956521739130435,0.009321782608695652,,11.956521739130435,"[1], [5], [72], [73] [409]",0.57
628,Hydrogen Island Bozcaada,TUR,2011.0,2014.0,DEMO,ALK,,Other/unknown,,H2,,,,,,1.0,1.0,,,,,,,,0.055MW,0.055,11.956521739130435,0.009321782608695652,,11.956521739130435,"[1], [5], [72], [73]",0.57
630,H₂ Air Base Leeuwarden,NLD,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,1.0,,,,,,,5MW,5.0,1111.111111111111,0.8662666666666666,,1111.111111111111,[503][630] [630][1662],0.3
633,Vendée hydrogène,FRA,,,DEMO,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,1.0,,,,,,,,,3.4MW,3.4,755.5555555555555,0.5890613333333332,,755.5555555555555,,0.57
634,H2One - SP Group,SGP,2019.0,,Operational,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,1m3 H2/h,0.0052,1.0,0.00077964,,1.0,[556],0.57
638,Semakau island microgrid Engie (SPORE),SGP,2019.0,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,1.0,1.0,,,,,,,,,,,,,0.0,[244],0.57
639,"PostBus Hydrogen bus, Brugg, aargau CHIC",CHE,2012.0,2016.0,DEMO,ALK,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,60m3 H2/h,0.276,60.0,0.046778400000000005,,60.0,"[2], [149], [150]",0.57
640,Emden I Biogas upgrading,DEU,2012.0,2014.0,DEMO,ALK,,Other/Unknown,,CH4,,,,,,1.0,1.0,,,,,,1.0,,0.312MW,0.312,67.82608695652173,0.0528799304347826,,67.82608695652173,"[2], [3] [409]",0.57
643,H2OzBus Project,AUS,,,Concept,PEM,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,2MW,2.0,384.61538461538464,0.2998615384615385,,384.61538461538464,[514],0.57
645,Hyport - Toulouse-Blagnac Airport,FRA,2023.0,,Operational,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,2MW,2.0,434.7826086956522,0.33897391304347824,,434.7826086956522,[528] [754][1200][1611],0.57
655,Thüga PtG plant Frankfurt/Main,DEU,2014.0,2016.0,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,1.0,1.0,,,,,,,0.3MW,0.3,57.69230769230769,0.044979230769230764,,57.69230769230769,"[1], [2], [7], [9], [81]  [470]",0.57
657,"HyFLEET:CUTE, Hamburg",DEU,2003.0,2011.0,DEMO,ALK,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,60m3 H2/h,0.276,60.0,0.046778400000000005,,60.0," [7], [133]",0.57
661,"CUTE, Stockholm",SWE,2003.0,2006.0,DEMO,ALK,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,0.3MW - 60m3 H2/h,0.3,65.21739130434783,0.050846086956521735,,65.21739130434783," [7], [133]",0.57
662,"HyFLEET:CUTE, Amesterdam",NLD,2003.0,2009.0,DEMO,ALK,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,0.3MW - 60m3 H2/h,0.3,65.21739130434783,0.050846086956521735,,65.21739130434783," [7], [133]",0.57
663,"Wind2Hydrogen, HyCentA",AUT,2015.0,2017.0,DEMO,PEM,,Other/Unknown,,H2,,,,,1.0,1.0,,1.0,,,,,,,0.1MW,0.1,19.230769230769234,0.014993076923076923,,19.230769230769234,"[113], [114], [213] [456] [481]",0.57
669,ECTOS,ISL,2003.0,2007.0,DEMO,ALK,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,60m3 H2/h,0.276,60.0,0.046778400000000005,,60.0,[7] [182] [183] [184],0.57
671,"Shoro Dam in Shiranuka-cho, Shiranuka-gun, Hokkaido",JPN,2016.0,2019.0,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,,,1.0,,,,,,35m3 H2/h,0.182,35.0,0.027287399999999996,,35.0,[281],0.57
672,SoCalGas and University of California Irvine 1,USA,2016.0,2017.0,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,13m3 H2/h,0.0676,13.0,0.01013532,,13.0,[480],0.57
674,SoCalGas and University of California Irvine 2,USA,2016.0,2017.0,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,1m3 H2/h,0.0052,1.0,0.00077964,,1.0,[480],0.57
675,Tomakomai,JPN,2016.0,2019.0,DEMO,NG w CCUS,SMR+CCUS,,,H2,,,,,,1.0,,,,,,,,,100kt CO2/y,,,,100000.0,12537.644276941517,[279],0.9
678,Yokohama City Wind Power Plant (Hama Wing),JPN,2017.0,2018.0,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,10m3 H2/h,0.52,100.0,0.077964,,100.0,[362],0.57
679,GRHYD,FRA,2018.0,2020.0,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,,1.0,,,,,,,10m3 H2/h,0.52,100.0,0.077964,,100.0,[1] [7] [9] [99],0.57
684,Hawaii Hydrogen Power Park (phase 2),USA,2007.0,,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,1.0,,,,,,,,0.005MW,0.005,0.9615384615384616,0.0007496538461538462,,0.9615384615384616," [1], [5], [87], [111], [112]",0.57
688,Aeropila,ESP,2004.0,2005.0,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,1.0,,1.0,,,,,,0.5 Nm3 H2/h,0.0026,0.5,0.00038982,,0.5," [1], [14]",0.57
702,GldH2,NLD,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,1.0,,,,,2MW,2.0,444.44444444444446,0.3465066666666667,,444.44444444444446,[503][630][920][1662],0.57
704,AuxHYGen (Phase 1),FRA,2021.0,,Operational,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,1MW - 200m3 H2/h,1.0,217.3913043478261,0.16948695652173912,,217.3913043478261,[570],0.57
713,Power to flex (several pilot projects),DEU,2016.0,,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,1.0,,1.0,,,,,,,,,,,0.0,"[118], [205]",0.57
716,HYPOS (several projects),DEU,2019.0,,Operational,Other Electrolysis,PEM+ALK+SOEC,Other/Unknown,Unknown,H2,,,,,1.0,1.0,1.0,1.0,,,,,,,1.3MW,1.3,288.8888888888889,0.22522933333333334,,288.8888888888889,"[2], [7], [95], [96]",0.57
718,Air Liquide Becancour,CAN,2020.0,,Operational,PEM,,Dedicated renewable,Hydropower,H2,,,,,1.0,1.0,,,,,,,,,20MW - 8t H2/d,20.0,3846.153846153846,2.9986153846153845,,3846.153846153846,[241][665],0.8
719,Hebei Jiantou Guyuan wind project - 2nd phase,CHN,2021.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,10MW,6.0,1333.3333333333335,1.03952,,1333.3333333333335,[360][587] [771],0.4
720,"Blue but better (ALB) (Canada Net-zero Hydrogen Energy Complex), phase 1",CAN,2025.0,,FID/Construction,NG w CCUS,ATR+CCUS,,,H2,1.0,,,,1.0,1.0,1.0,,,,,,,,140kt H2/y - 0.77 Mt CO2/y,,179570.05797547585,140.0,770000.0,96539.86093244968,[947][1993],0.9
721,Hyper Hydrogen Energy Zhangjiakou Wind Power Hebei - first phase,CHN,2020.0,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,4.3 t H2/d,9.260299625468162,2013.1086142322094,1.5695,,2013.1086142322094,[360],0.4
725,"MPREIS Hydrogen (within ""Demo4Grid"")",AUT,2022.0,,Operational,ALK,,Grid,,H2,,,,,1.0,1.0,,,,,,,,,3.1MW,3.1,673.9130434782609,0.5254095652173912,,673.9130434782609,[216][1242],0.57
726,Anglo-American Mogalakwena mine,ZAF,2022.0,,Operational,ALK,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,3.5MW,3.5,760.8695652173914,0.5932043478260869,,760.8695652173914,[452],0.5
727,Wally - Walmart Quilicura forklifts,CHL,2023.0,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,56t H2/y - 600kW,0.6,115.38461538461539,0.08995846153846153,,,[958] [1322] [1976],0.3
728,Wuppertal refuelling station,DEU,2020.0,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,2.5MW - 500m3 H2/h,2.5,500.0,0.38982,,500.0,[231] [356] [732],0.5
733,"Green hydrogen Project, Mohammad Bin Rashid Solar Park",ARE,2021.0,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,1.25MW,1.25,240.3846153846154,0.18741346153846153,,240.3846153846154,[339][921],0.3
735,NEL-Champaign-Urbana Mass Transit District,USA,2021.0,,Operational,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,1 MW,1.0,192.30769230769232,0.14993076923076926,,192.30769230769232,[329][1020],0.57
738,Queensland Government HRS,AUS,2022.0,,Operational,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,0.22MW,0.22,42.30769230769231,0.03298476923076923,,42.30769230769231,[535] [1612],0.57
741,Obayashi geothermal hydrogen,JPN,2020.0,,DEMO,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,1.0,,,,,,10m3 H2/h,0.045,10.0,0.0077963999999999985,,10.0,[566],0.5
742,Hydrogen village Burgenland,AUT,2006.0,,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,1.0,,1.0,,,,,,2m3 H2/h,0.0104,2.0,0.00155928,,2.0,"[1], [115] [456]",0.57
747,"SPHYNX, R&D",FRA,2020.0,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,"[140], [208] [393]",0.57
751,Vallée Hydrogène Grand Ouest (VHyGO) - Brest,FRA,2024.0,,FID/Construction,ALK,,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,1.5MW,1.5,326.0869565217391,0.25423043478260865,,326.0869565217391,[857] [858],0.5
754,Hyper Hydrogen Energy Zhangjiakou Wind Power Hebei - second phase,CHN,,,FID/Construction,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,1.0,,,,,,,,10 kt H2/y - production,147.50397619414088,32066.08178133497,25.0,,32066.08178133497,[360] [771][2073],0.4
761,The Hydrogen house,USA,2006.0,,DEMO,PEM,,Other/Unknown,,H2,,,,,,1.0,1.0,,1.0,,,,,,,,,,,0.0,"[1], [5], [172]",0.57
764,Alliander Oosterwolde - solar park of GroenLeven,NLD,2022.0,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,1.4MW,1.4,304.3478260869565,0.2372817391304348,,304.3478260869565,[591][597] [1613],0.3
765,Siemens Energy and Beijing Green Hydrogen Technology Development HRS,CHN,2022.0,,DEMO,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,1MW,1.0,192.30769230769232,0.14993076923076926,,192.30769230769232,[575],0.57
769,Air Liquide liquid hydrogen production plant,USA,2022.0,,Operational,Biomass,Biogas reforming,,,H2,,,,,,1.0,,,,,,,,,"30t H2/d (only part from biogas, but at least 1/3)",,4681.647940074906,3.65,,4681.647940074906,[559] [561][639],0.9
772,"Sun Metals Zinc Refinery, phase I",AUS,2023.0,,FID/Construction,PEM,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,1MW,1.0,192.30769230769232,0.14993076923076926,,192.30769230769232,[538] [539][1038][1336][1620],0.5
773,HRS TMB Zona Franca de Barcelona,ESP,2022.0,,Operational,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,480.7692307692308,0.37482692307692306,,480.7692307692308,[563] [1323],0.57
774,HRS Charleroi,BEL,,,Concept,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[564],0.57
775,HRS CNH2 Puertollano,ESP,2015.0,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,0.06MW,0.06,13.043478260869565,0.010169217391304348,,13.043478260869565,,0.3
778,HydroHub-Fenne,DEU,2026.0,,FID/Construction,PEM,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,1.0,,,,,,,53 MW,53.0,10192.307692307693,7.946330769230769,,10192.307692307693,[600] [1347] [1348],0.5
779,Solena Group Plasma enhanced gasification,USA,2024.0,,FID/Construction,Biomass,Biomass plasma-enhanced gasification,,,H2,,,,,,1.0,,,,,,,,,12000kg H2/d,,5617.977528089887,4.38,,5617.977528089887,[513] [1694],0.9
780,H24U project (former Proyecto Verne),URY,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Other/Unknown,Solar PV,H2,,,,,,1.0,,,,,,,,,5MW,5.0,1111.111111111111,0.8662666666666666,,1111.111111111111,[610],0.57
785,Chongli wind-solar Hydrogen Project - first phase,CHN,2021.0,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,1.7t H2/d,2.0,384.61538461538464,0.2998615384615385,,384.61538461538464,[360],0.5
786,"GreenH2UB (1st hub, Noord Brabant)",NLD,2024.0,,Feasibility study,PEM,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,1.0,,,,,,,5-10MW,5.0,961.5384615384615,0.7496538461538461,,961.5384615384615,[503][630] [504] [920] [1662],0.5
787,Duwaal,NLD,2024.0,,Feasibility study,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,480.7692307692308,0.37482692307692306,,480.7692307692308,[242] [353] [503][630] [508][1662],0.4
788,Chongli wind-solar Hydrogen Project - second phase,CHN,2022.0,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,1475 t/yr H2 ,9.83787389051357,1891.8988250987636,1.475,,1891.8988250987636,[771] [1707] [1708],0.5
789,Hysolar Green on Road - Nieuwegein,NLD,2022.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,2MW,2.0,444.44444444444446,0.3465066666666667,,444.44444444444446,[499][1154] [1604] [1662],0.3
790,Halcyon Power,NZL,2021.0,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,1.0,,,,,,,,1.5MW - 250m3 H2/h,1.5,250.0,0.19491,,250.0,[529][1226],0.5
797,METHYCENTRE,FRA,2021.0,,DEMO,PEM,,Other/Unknown,,Various,,,,,,1.0,,,,,,,1.0,1.0,0.25MW,0.25,48.07692307692308,0.037482692307692314,,48.07692307692308,[103] [130],0.57
799,"Toyota Hydrogen Centre, Altona, Victoria",AUS,2021.0,,Operational,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,0.2MW,0.2,38.46153846153847,0.029986153846153846,,38.46153846153847,[261] [262] [264] [321][358][632][786] [809],0.57
800,GZI Next,NLD,2024.0,,Feasibility study,PEM,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,10MW,10.0,1923.076923076923,1.4993076923076922,,1923.076923076923,[421],0.5
807,Normand’Hy - Air Liquide ,FRA,2025.0,,FID/Construction,PEM,,Grid,,H2,1.0,,,,1.0,1.0,,,,,,,,,200MW,200.0,38461.53846153846,29.986153846153844,,38461.53846153846,[1668],0.57
809,"Arrowsmith Hydrogen Project, phase 1",AUS,2026.0,,Feasibility study,ALK,,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,23t H2/d - 55MW,55.0,11956.521739130436,9.321782608695653,,11956.521739130436,[497][1035][1169][1170][1728],0.5
813,UpHy,AUT,2024.0,,FID/Construction,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,10MW,10.0,1923.076923076923,1.4993076923076922,,1923.076923076923,[424] [1607] [2025],0.57
826,"Etzel, Salt caverns",DEU,2007.0,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,1.0,1.0,,,,,,,,,,,,0.0,[2] [175] [209],0.57
831,Baicheng City Bus Company - Songyuan City,CHN,2023.0,,FID/Construction,Other Electrolysis,ALK+PEM,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,"6 MW, 1000 Nm3/h ALK + 200 Nm3/h PEM",6.0,1333.3333333333335,1.03952,,1333.3333333333335,[831],0.3
833,"Repsol Cartagena, phase 1",ESP,2026.0,,Feasibility study,ALK,,Grid,Others/Various,H2,1.0,,,,,1.0,,1.0,,,1.0,,,,100 MW,100.0,21739.130434782608,16.94869565217391,,21739.130434782608,[617],0.57
836,Long Beach Fuel Cell plant,USA,2023.0,,Operational,Biomass,Biogas reforming,,,H2,,,,,,1.0,,,,,,,,,1.2 kg H2/d,,561.7977528089888,0.438,,561.7977528089888,[320],0.9
839,Armor Hydrogène,FRA,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,4MW,4.0,888.8888888888889,0.6930133333333334,,888.8888888888889,[633] [1689],0.4
842,"Frontier Energy, H2@Scale - electrolysis",USA,2020.0,,DEMO,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,1.0,,,,,,,,20kg H2/d,0.04868913857677903,9.363295880149813,0.0073,,9.363295880149813,[636][637][1021],0.5
849,"HySynergy, phase 2",DNK,2025.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,1.0,,,,,1.0,,,,,,,,,300 MW,280.0,62222.222222222226,48.510933333333334,,62222.222222222226,[288] [331][930],0.5
851,"Shell China - Zhangjiakou, phase 1",CHN,2022.0,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,20MW,20.0,4347.826086956522,3.3897391304347826,,4347.826086956522,[642] [772][1216],0.4
853,"Aberdeen Hydrogen Hub, phase I",GBR,2024.0,,FID/Construction,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,,1.0,,1.0,,,,,800 kg H2/day,1.685393258426966,374.5318352059925,0.292,,374.5318352059925,"[644][979],  Platts European Gas Daily 27-10-2021",0.57
855,H2HUB,FRA,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,2MW,2.0,444.44444444444446,0.3465066666666667,,444.44444444444446,[647],0.3
862,HaYrport,BEL,2024.0,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,0.75MW,0.75,163.04347826086956,0.12711521739130432,,163.04347826086956,[652] [897] [1622],0.57
868,HRS Halle (Continued as Ref148),BEL,,2014.0,DEMO,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,0.3 MW - 60 Nm3 H2/h,0.3,65.21739130434783,0.050846086956521735,,65.21739130434783,[655],0.4
871,H2One Multistation- Tsuruga City,JPN,2020.0,,Operational,PEM,,Grid,,H2,,,,,,1.0,1.0,,,,,,,,1 Nm3/h,0.0052,1.0,0.00077964,,1.0,[659],0.57
878,"BENORTH2 (Amorebieta-Boroa power plant), phase 1",ESP,2024.0,,FID/Construction,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,1.0,1.0,,,,,,,20MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[666] [690],0.57
879,"BENORTH2 (Amorebieta-Boroa power plant), phase 2",ESP,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,,,,,,1.0,1.0,1.0,,,,,,,200MW,180.0,40000.0,31.1856,,40000.0,[666] [690],0.57
880,Camberra HRS,AUS,2021.0,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,10 Nm3/h,0.052,10.0,0.0077963999999999985,,10.0,[810] [811],0.5
885,"Get H2 Lingen, phase 2",DEU,2025.0,,Feasibility study,PEM,,Dedicated renewable,Offshore wind,H2,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,200MW,100.0,19230.76923076923,14.993076923076922,,19230.76923076923,[674] [675][1212],0.55
891,Brande Hydrogen project,DNK,2021.0,,DEMO,PEM,,Dedicated renewable,Offshore wind,H2,,,,,,1.0,,,,,,,,,0.4MW,0.4,76.92307692307693,0.05997230769230769,,76.92307692307693,[681] [689],0.55
894,Deep Purple,NOR,,,DEMO,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,,,,,1.0,1.0,1.0,,,,,,,,,,,,,0.0,[685] [686] [687],0.55
896,Linde Leuna Chemical Complex,DEU,2023.0,,FID/Construction,PEM,,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,,,,,,,,,24MW,24.0,4615.384615384615,3.598338461538461,,4615.384615384615,[693],0.5
902,Sumitomo Queensland,AUS,2023.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,,,0.25-0.3 kt H2/y,1.587271048176081,352.7268995946847,0.275,,352.7268995946847,[701][1167],0.3
903,Sumitomo Oman,OMN,2025.0,,Concept,NG w CCUS,Unknown technology,,,H2,,,,,,1.0,,,,,,,,,0.3-0.4 kt H2/y,,448.92514493868964,0.35,,0.0,[701] [912],0.9
907,Green Hydrogen Esslingen (P2G2P),DEU,2021.0,,Operational,ALK,,Grid,,H2,,,,,,1.0,,1.0,,,,,,,0.5MW,0.5,108.69565217391305,0.08474347826086956,,108.69565217391305,[711] [712] [1326],0.57
920,"Hynet Northwest, phase 2 (Essar Stanlow refinery)",GBR,2030.0,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,30 TWh H2/y - 8.1Mt CO2/y,,1038941.0497152532,810.0,7290000.0,913994.2677890366,"[300], [709]",0.9
921,Zero Emission Valley (ZEV) - Clermont Ferrand,FRA,2024.0,,FID/Construction,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,1MW,1.0,217.3913043478261,0.16948695652173912,,217.3913043478261,[716] [866] [1690],0.57
923,Liberty South - Port Anthony,AUS,,,Concept,Other,Methane pyrolysis,,,H2,,,,,,1.0,,,,,,,,,20 t H2/d,,93632.95880149813,73.0,,93632.95880149813,[718][905][906],0.9
924,KOGAN HYDROGEN DEMONSTRATION PROJECT,AUS,2023.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,1.0,,,,,,,,0.7MW,0.7,155.55555555555557,0.12127733333333335,,155.55555555555557,[719] [1301],0.3
925,Masdar City green H2,ARE,,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,Various,,,,,,1.0,,,,,,1.0,,,1000t H2/y,0.0,0.0,,,0.0,[720] [903],0.5
933,H2 Creteil,FRA,2024.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,2.5 M,2.5,555.5555555555555,0.4331333333333333,,555.5555555555555,[728],0.5
934,SunLine Palms Springs,USA,2018.0,,Operational,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,2MW,2.0,384.61538461538464,0.2998615384615385,,384.61538461538464,[73],0.57
937,"New York Science, Technology and Advanced Manufacturing Park",USA,2024.0,,FID/Construction,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1.0,,,,,,,,,120MW,120.0,23076.923076923078,17.991692307692308,,23076.923076923078,[738][1020][1136],0.8
938,Abanto Technology Park,ESP,2023.0,,Operational,ALk,,Dedicated renewable,Unknown,H2,1.0,,,,,1.0,,,,,,,,,2.5MW,2.5,543.4782608695652,0.4237173913043478,,543.4782608695652,[739] [757],0.5
939,HyDeal Ambition,"ESP
FRA",2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,1.0,,,,,,,67GW,,0.0,0.0,,0.0,[758],0.5
943,H2-Login,ESP,2022.0,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,6 kg H2/d,0.01333949002103535,2.565286542506798,0.002,,2.565286542506798,[747] [1328][1583],0.3
950,Leeds Bradford Airport hub,GBR,2025.0,,Feasibility study,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[756],0.57
963,National grid green H2 storage in New York,USA,2022.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,1.0,1.0,,,,,,,,,,,,0.0,[776],0.5
971,HRS Gatwick airport,GBR,2019.0,2022.0,Decommisioned,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[783],0.57
973,HRS Swindon,GBR,2018.0,,Operational,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[787],0.57
974,HRS Beaconsfield,GBR,2018.0,2022.0,Decommisioned,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,,,,,,0.0,[788],0.57
976,Rafnes chemical plants,NOR,,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,20 MW,20.0,4444.444444444444,3.4650666666666665,,4444.444444444444,[790][1152],0.5
985,"Hysencia, Phase II",ESP,,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,1.0,1.0,,,,,,,,,200MW,160.0,35555.555555555555,27.720533333333332,,35555.555555555555,[560] [800],0.5
1003,HRS Bremervörde - trains,DEU,2022.0,,Operational,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,1.6 t H2/d,3.8951310861423214,749.063670411985,0.584,,749.063670411985,[821] [1608],0.57
